streak_id,sign,length,start_time,end_time,pnl_r,pnl_usd,start_setup_id,end_setup_id
243,loss,9,2025-12-05 11:00:00+00:00,2025-12-09 19:45:00+00:00,-8.166056360452233,-244.981690813567,XAUUSD_28764_LONG_6008,XAUUSD_28982_LONG_6047
244,win,3,2025-12-09 20:00:00+00:00,2025-12-09 20:00:00+00:00,4.029046813310406,120.87140439931218,GBPUSD_28350_SHORT_5890,GBPUSD_28350_SHORT_5890
245,loss,8,2025-12-09 21:45:00+00:00,2025-12-10 17:30:00+00:00,-4.015744236484963,-120.47232709454889,XAUUSD_28960_LONG_6044,GBPUSD_28448_LONG_5907
246,win,2,2025-12-10 20:30:00+00:00,2025-12-10 20:30:00+00:00,1.9332090711398635,57.996272134195905,GBPUSD_28448_LONG_5907,GBPUSD_28448_LONG_5907
247,loss,11,2025-12-10 20:30:00+00:00,2025-12-10 21:30:00+00:00,-11.0,-330.0,GBPUSD_28461_LONG_5910,EURUSD_28461_LONG_6061
248,win,12,2025-12-10 22:00:00+00:00,2025-12-11 18:45:00+00:00,36.0,1080.0,EURUSD_28464_LONG_6063,XAUUSD_29162_LONG_6083
249,loss,3,2025-12-11 20:45:00+00:00,2025-12-11 20:45:00+00:00,-1.0317460317456575,-30.95238095236973,GBPUSD_28545_LONG_5926,GBPUSD_28545_LONG_5926
250,win,7,2025-12-11 21:00:00+00:00,2025-12-12 00:45:00+00:00,8.956593634458132,268.6978090337439,EURUSD_28545_LONG_6087,GBPUSD_28558_SHORT_5928
251,loss,6,2025-12-12 15:30:00+00:00,2025-12-12 17:15:00+00:00,-3.9924134660974584,-119.77240398292376,EURUSD_28620_SHORT_6103,XAUUSD_29252_LONG_6109
252,win,1,2025-12-12 18:30:00+00:00,2025-12-12 18:30:00+00:00,3.0,90.0,GBPUSD_28640_SHORT_5944,GBPUSD_28640_SHORT_5944
253,loss,2,2025-12-12 20:00:00+00:00,2025-12-12 20:45:00+00:00,-2.0,-60.0,XAUUSD_29261_SHORT_6110,EURUSD_28655_LONG_6113
254,win,2,2025-12-12 20:45:00+00:00,2025-12-12 20:45:00+00:00,1.804532577903501,54.13597733710503,GBPUSD_28640_SHORT_5944,GBPUSD_28640_SHORT_5944
255,loss,4,2025-12-12 21:00:00+00:00,2025-12-12 22:00:00+00:00,-2.961363049651513,-88.84089148954538,EURUSD_28655_LONG_6113,XAUUSD_29261_SHORT_6110
256,win,3,2025-12-16 15:30:00+00:00,2025-12-16 17:00:00+00:00,9.0,270.0,GBPUSD_28819_LONG_5993,EURUSD_28823_LONG_6150
257,loss,9,2025-12-16 17:15:00+00:00,2025-12-17 01:00:00+00:00,-6.420359966174193,-192.61079898522578,GBPUSD_28819_LONG_5993,EURUSD_28849_SHORT_6158
258,win,3,2025-12-18 14:15:00+00:00,2025-12-18 14:30:00+00:00,7.25684608120893,217.70538243626788,EURUSD_29000_SHORT_6185,EURUSD_29000_SHORT_6185
259,loss,9,2025-12-19 22:45:00+00:00,2025-12-24 12:00:00+00:00,-8.65254237288131,-259.5762711864393,GBPUSD_29137_LONG_6059,XAUUSD_29947_SHORT_6235
260,win,2,2025-12-24 17:30:00+00:00,2025-12-24 17:45:00+00:00,6.0,180.0,XAUUSD_29988_SHORT_6243,XAUUSD_29988_SHORT_6243
261,loss,6,2025-12-26 01:00:00+00:00,2025-12-30 11:30:00+00:00,-5.556505987722628,-166.69517963167883,XAUUSD_29988_SHORT_6243,EURUSD_29669_SHORT_6331
262,win,1,2025-12-30 14:15:00+00:00,2025-12-30 14:15:00+00:00,0.6086956521738695,18.260869565216083,EURUSD_29670_SHORT_6332,EURUSD_29670_SHORT_6332
263,loss,4,2025-12-31 10:00:00+00:00,2026-01-06 19:45:00+00:00,-4.0,-120.0,GBPUSD_29765_SHORT_6198,GBPUSD_30086_SHORT_6283
264,win,3,2026-01-06 21:00:00+00:00,2026-01-06 21:00:00+00:00,2.6283524904220164,78.85057471266049,EURUSD_30082_SHORT_6439,EURUSD_30082_SHORT_6439
265,loss,5,2026-01-06 22:00:00+00:00,2026-01-07 10:30:00+00:00,-3.453144266337708,-103.59432799013123,GBPUSD_30086_SHORT_6283,XAUUSD_30680_SHORT_6390
266,win,3,2026-01-07 21:45:00+00:00,2026-01-07 21:45:00+00:00,3.3006230529596414,99.01869158878927,GBPUSD_30181_SHORT_6307,GBPUSD_30181_SHORT_6307
267,loss,15,2026-01-08 23:00:00+00:00,2026-01-15 00:45:00+00:00,-11.68313087774243,-350.4939263322729,EURUSD_30282_SHORT_6475,EURUSD_30673_SHORT_6558
268,win,3,2026-01-15 15:00:00+00:00,2026-01-15 15:30:00+00:00,9.0,270.0,GBPUSD_30739_SHORT_6415,GBPUSD_30739_SHORT_6415
269,loss,3,2026-01-15 18:15:00+00:00,2026-01-15 20:15:00+00:00,-2.3576826196474596,-70.73047858942378,GBPUSD_30751_SHORT_6419,GBPUSD_30751_SHORT_6419
270,win,3,2026-01-16 12:15:00+00:00,2026-01-16 14:30:00+00:00,5.713997985901347,171.4199395770404,GBPUSD_30824_LONG_6434,GBPUSD_30824_LONG_6434
271,loss,10,2026-01-16 14:45:00+00:00,2026-01-21 17:00:00+00:00,-10.0,-300.0,EURUSD_30837_LONG_6580,XAUUSD_31624_SHORT_6586
