setup_id,bar_idx,time,reason
EURUSD_1731_LONG_380,1745,2024-11-13 07:00:00+00:00,FVG_INVALIDATED
EURUSD_1732_LONG_381,1733,2024-11-13 04:00:00+00:00,FVG_INVALIDATED
EURUSD_1734_SHORT_382,1736,2024-11-13 04:45:00+00:00,FVG_INVALIDATED
EURUSD_1763_LONG_387,1770,2024-11-13 13:15:00+00:00,FVG_INVALIDATED
EURUSD_1768_SHORT_388,1772,2024-11-13 13:45:00+00:00,OPPOSITE_CHOCH
EURUSD_1773_LONG_389,1784,2024-11-13 16:45:00+00:00,OPPOSITE_CHOCH
EURUSD_1783_SHORT_390,1847,2024-11-14 08:30:00+00:00,TTL_EXPIRED
EURUSD_1784_SHORT_391,1848,2024-11-14 08:45:00+00:00,TTL_EXPIRED
EURUSD_1786_SHORT_393,1787,2024-11-13 17:30:00+00:00,FVG_INVALIDATED
EURUSD_1788_LONG_394,1789,2024-11-13 18:00:00+00:00,FVG_INVALIDATED
EURUSD_1798_SHORT_395,1801,2024-11-13 21:00:00+00:00,FVG_INVALIDATED
EURUSD_1802_LONG_396,1813,2024-11-14 00:00:00+00:00,FVG_INVALIDATED
EURUSD_1803_LONG_397,1804,2024-11-13 21:45:00+00:00,FVG_INVALIDATED
EURUSD_1818_LONG_398,1825,2024-11-14 03:00:00+00:00,FVG_INVALIDATED
EURUSD_1826_SHORT_399,1878,2024-11-14 16:15:00+00:00,OPPOSITE_CHOCH
EURUSD_1836_SHORT_400,1847,2024-11-14 08:30:00+00:00,FVG_INVALIDATED
EURUSD_1842_SHORT_402,1844,2024-11-14 07:45:00+00:00,FVG_INVALIDATED
EURUSD_1844_LONG_403,1856,2024-11-14 10:45:00+00:00,OPPOSITE_BOS
EURUSD_1845_LONG_404,1848,2024-11-14 08:45:00+00:00,FVG_INVALIDATED
